ano;experiencia;emprego;cargo;salario_USD;pais_empreg;trab_remoto;pais_empresa;tam_empresa
2020;2:MI;FT;Data Scientist;79833;DE;1:Nao;DE;L
2020;3:SE;FT;Machine Learning Scientist;260000;JP;1:Nao;JP;S
2020;3:SE;FT;Big Data Engineer;109024;GB;2:Parcial;GB;M
2020;2:MI;FT;Product Data Analyst;20000;HN;1:Nao;HN;S
2020;3:SE;FT;Machine Learning Engineer;150000;US;2:Parcial;US;L
2020;1:EN;FT;Data Analyst;72000;US;3:Total;US;L
2020;3:SE;FT;Lead Data Scientist;190000;US;3:Total;US;S
2020;2:MI;FT;Data Scientist;35735;HU;2:Parcial;HU;L
2020;2:MI;FT;Business Data Analyst;135000;US;3:Total;US;L
2020;3:SE;FT;Lead Data Engineer;125000;NZ;2:Parcial;NZ;S
2020;1:EN;FT;Data Scientist;51321;FR;1:Nao;FR;S
2020;2:MI;FT;Data Scientist;40481;IN;1:Nao;IN;L
2020;1:EN;FT;Data Scientist;39916;FR;1:Nao;FR;M
2020;2:MI;FT;Lead Data Analyst;87000;US;3:Total;US;L
2020;2:MI;FT;Data Analyst;85000;US;3:Total;US;L
2020;2:MI;FT;Data Analyst;8000;PK;2:Parcial;PK;L
2020;1:EN;FT;Data Engineer;41689;JP;3:Total;JP;S
2020;3:SE;FT;Big Data Engineer;114047;PL;3:Total;GB;S
2020;1:EN;FT;Data Science Consultant;5707;IN;2:Parcial;IN;M
2020;2:MI;FT;Lead Data Engineer;56000;PT;3:Total;US;M
2020;2:MI;FT;Machine Learning Engineer;43331;CN;1:Nao;CN;M
2020;2:MI;FT;Product Data Analyst;6072;IN;3:Total;IN;L
2020;3:SE;FT;Data Engineer;47899;GR;2:Parcial;GR;L
2020;2:MI;FT;BI Data Analyst;98000;US;1:Nao;US;M
2020;2:MI;FT;Lead Data Scientist;115000;AE;1:Nao;AE;L
2020;4:EX;FT;Director of Data Science;325000;US;3:Total;US;L
2020;1:EN;FT;Research Scientist;42000;NL;2:Parcial;NL;L
