"ano";"experiencia";"emprego";"cargo";"salario_USD";"pais_empreg";"trab_remoto";"pais_empresa";"tam_empresa"
2020;"MI";"FT";"Data Scientist";79833;"DE";"Não";"DE";"L"
2020;"SE";"FT";"Machine Learning Scientist";260000;"JP";"Não";"JP";"S"
2020;"SE";"FT";"Big Data Engineer";109024;"GB";"Parcial";"GB";"M"
2020;"MI";"FT";"Product Data Analyst";20000;"HN";"Não";"HN";"S"
2020;"SE";"FT";"Machine Learning Engineer";150000;"US";"Parcial";"US";"L"
2020;"EN";"FT";"Data Analyst";72000;"US";"Sim";"US";"L"
2020;"SE";"FT";"Lead Data Scientist";190000;"US";"Sim";"US";"S"
2020;"MI";"FT";"Data Scientist";35735;"HU";"Parcial";"HU";"L"
2020;"MI";"FT";"Business Data Analyst";135000;"US";"Sim";"US";"L"
2020;"SE";"FT";"Lead Data Engineer";125000;"NZ";"Parcial";"NZ";"S"
2020;"EN";"FT";"Data Scientist";51321;"FR";"Não";"FR";"S"
2020;"MI";"FT";"Data Scientist";40481;"IN";"Não";"IN";"L"
2020;"EN";"FT";"Data Scientist";39916;"FR";"Não";"FR";"M"
2020;"MI";"FT";"Lead Data Analyst";87000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Analyst";85000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Analyst";8000;"PK";"Parcial";"PK";"L"
2020;"EN";"FT";"Data Engineer";41689;"JP";"Sim";"JP";"S"
2020;"SE";"FT";"Big Data Engineer";114047;"PL";"Sim";"GB";"S"
2020;"EN";"FT";"Data Science Consultant";5707;"IN";"Parcial";"IN";"M"
2020;"MI";"FT";"Lead Data Engineer";56000;"PT";"Sim";"US";"M"
2020;"MI";"FT";"Machine Learning Engineer";43331;"CN";"Não";"CN";"M"
2020;"MI";"FT";"Product Data Analyst";6072;"IN";"Sim";"IN";"L"
2020;"SE";"FT";"Data Engineer";47899;"GR";"Parcial";"GR";"L"
2020;"MI";"FT";"BI Data Analyst";98000;"US";"Não";"US";"M"
2020;"MI";"FT";"Lead Data Scientist";115000;"AE";"Não";"AE";"L"
2020;"EX";"FT";"Director of Data Science";325000;"US";"Sim";"US";"L"
2020;"EN";"FT";"Research Scientist";42000;"NL";"Parcial";"NL";"L"
2020;"SE";"FT";"Data Engineer";33511;"MX";"Não";"MX";"S"
2020;"EN";"CT";"Business Data Analyst";100000;"US";"Sim";"US";"L"
2020;"SE";"FT";"Machine Learning Manager";117104;"CA";"Parcial";"CA";"L"
2020;"MI";"FT";"Data Engineering Manager";59303;"DE";"Sim";"DE";"S"
2020;"EN";"FT";"Big Data Engineer";70000;"US";"Sim";"US";"L"
2020;"SE";"FT";"Data Scientist";68428;"GR";"Sim";"US";"L"
2020;"MI";"FT";"Research Scientist";450000;"US";"Não";"US";"M"
2020;"MI";"FT";"Data Analyst";46759;"FR";"Parcial";"FR";"L"
2020;"MI";"FT";"Data Engineer";74130;"AT";"Parcial";"AT";"L"
2020;"MI";"FT";"Data Science Consultant";103000;"US";"Sim";"US";"L"
2020;"EN";"FT";"Machine Learning Engineer";250000;"US";"Parcial";"US";"L"
2020;"EN";"FT";"Data Analyst";10000;"NG";"Sim";"NG";"S"
2020;"EN";"FT";"Machine Learning Engineer";138000;"US";"Sim";"US";"S"
2020;"MI";"FT";"Data Scientist";45760;"PH";"Sim";"US";"S"
2020;"EX";"FT";"Data Engineering Manager";79833;"ES";"Parcial";"ES";"L"
2020;"MI";"FT";"Machine Learning Infrastructure Engineer";50180;"PT";"Não";"PT";"M"
2020;"MI";"FT";"Data Engineer";106000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Engineer";112872;"GB";"Parcial";"GB";"L"
2020;"EN";"PT";"ML Engineer";15966;"DE";"Sim";"DE";"S"
2020;"MI";"FT";"Data Scientist";76958;"GB";"Sim";"GB";"S"
2020;"SE";"FT";"Data Engineer";188000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Scientist";105000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Engineer";70139;"FR";"Parcial";"FR";"L"
2020;"EN";"FT";"Data Analyst";6072;"IN";"Não";"IN";"S"
2020;"EN";"FT";"Data Analyst";91000;"US";"Sim";"US";"L"
2020;"EN";"FT";"AI Scientist";45896;"DK";"Parcial";"DK";"S"
2020;"EN";"FT";"Data Engineer";54742;"PK";"Sim";"DE";"L"
2020;"SE";"FL";"Computer Vision Engineer";60000;"RU";"Sim";"US";"S"
2020;"SE";"FT";"Principal Data Scientist";148261;"DE";"Sim";"DE";"M"
2020;"MI";"FT";"Data Scientist";38776;"ES";"Sim";"ES";"M"
2020;"MI";"FT";"Data Scientist";118000;"US";"Sim";"US";"M"
2020;"SE";"FT";"Data Scientist";120000;"US";"Parcial";"US";"L"
2020;"MI";"FT";"Data Scientist";138350;"US";"Sim";"US";"M"
2020;"MI";"FT";"Data Engineer";110000;"US";"Sim";"US";"L"
2020;"MI";"FT";"Data Engineer";130800;"ES";"Sim";"US";"M"
2020;"EN";"PT";"Data Scientist";21669;"IT";"Parcial";"IT";"S"
2020;"SE";"FT";"Data Scientist";412000;"US";"Sim";"US";"L"
2020;"SE";"FT";"Machine Learning Engineer";45618;"HR";"Sim";"HR";"S"
2020;"EN";"FT";"Data Scientist";62726;"DE";"Parcial";"DE";"S"
2020;"EN";"FT";"Data Scientist";49268;"DE";"Não";"DE";"S"
2020;"SE";"FT";"Data Science Manager";190200;"US";"Sim";"US";"M"
2020;"EN";"FT";"Data Scientist";105000;"US";"Sim";"US";"S"
2020;"SE";"FT";"Data Scientist";91237;"AT";"Não";"AT";"S"
2020;"MI";"FT";"Data Scientist";62726;"FR";"Parcial";"LU";"S"
2020;"MI";"FT";"Data Scientist";42197;"FR";"Parcial";"FR";"S"
2021;"EN";"FT";"Research Scientist";82528;"GB";"Parcial";"GB";"L"
2021;"EX";"FT";"BI Data Analyst";150000;"IN";"Sim";"US";"L"
2021;"EX";"FT";"Head of Data";235000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Scientist";53192;"FR";"Parcial";"FR";"L"
2021;"MI";"FT";"BI Data Analyst";100000;"US";"Sim";"US";"M"
2021;"MI";"PT";"3D Computer Vision Researcher";5409;"IN";"Parcial";"IN";"M"
2021;"MI";"CT";"ML Engineer";270000;"US";"Sim";"US";"L"
2021;"EN";"FT";"Data Analyst";80000;"US";"Sim";"US";"M"
2021;"SE";"FT";"Data Analytics Engineer";79197;"DE";"Sim";"DE";"L"
2021;"MI";"FT";"Data Engineer";140000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Applied Data Scientist";54238;"GB";"Parcial";"CA";"L"
2021;"MI";"FT";"Machine Learning Engineer";47282;"ES";"Sim";"ES";"S"
2021;"EX";"FT";"Director of Data Science";153667;"IT";"Sim";"PL";"L"
2021;"MI";"FT";"Data Engineer";28476;"PL";"Sim";"PL";"L"
2021;"EN";"FT";"Data Analyst";59102;"FR";"Parcial";"FR";"M"
2021;"MI";"FT";"Data Analytics Engineer";110000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Lead Data Analyst";170000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Analyst";80000;"BG";"Sim";"US";"S"
2021;"SE";"FT";"Marketing Data Analyst";88654;"GR";"Sim";"DK";"L"
2021;"EN";"FT";"Data Science Consultant";76833;"DE";"Sim";"DE";"S"
2021;"MI";"FT";"Lead Data Analyst";19609;"IN";"Sim";"IN";"L"
2021;"SE";"FT";"Lead Data Engineer";276000;"US";"Não";"US";"L"
2021;"EN";"FT";"Data Scientist";29751;"IN";"Parcial";"IN";"L"
2021;"MI";"FT";"Cloud Data Engineer";89294;"SG";"Parcial";"SG";"L"
2021;"EN";"PT";"AI Scientist";12000;"BR";"Sim";"US";"S"
2021;"MI";"FT";"Financial Data Analyst";450000;"US";"Sim";"US";"L"
2021;"EN";"FT";"Computer Vision Software Engineer";70000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Computer Vision Software Engineer";95746;"DE";"Sim";"US";"S"
2021;"MI";"FT";"Data Analyst";75000;"US";"Não";"US";"L"
2021;"SE";"FT";"Data Engineer";150000;"US";"Sim";"US";"L"
2021;"MI";"FT";"BI Data Analyst";36259;"HU";"Parcial";"US";"L"
2021;"MI";"FT";"Data Analyst";62000;"US";"Não";"US";"L"
2021;"MI";"FT";"Data Scientist";73000;"US";"Não";"US";"L"
2021;"MI";"FT";"Data Analyst";51519;"GB";"Parcial";"GB";"L"
2021;"MI";"FT";"Research Scientist";187442;"CA";"Sim";"CA";"L"
2021;"SE";"FT";"Data Engineer";115000;"US";"Sim";"US";"S"
2021;"SE";"FT";"Data Engineer";150000;"US";"Sim";"US";"M"
2021;"EN";"FT";"Data Engineer";30428;"IN";"Sim";"IN";"L"
2021;"SE";"FT";"Machine Learning Engineer";94564;"DE";"Parcial";"DE";"L"
2021;"SE";"FT";"Director of Data Engineering";113476;"GB";"Sim";"GB";"M"
2021;"SE";"FT";"Lead Data Engineer";103160;"GB";"Sim";"GB";"S"
2021;"EN";"PT";"AI Scientist";12000;"PK";"Sim";"US";"M"
2021;"MI";"FT";"Data Engineer";45391;"NL";"Sim";"NL";"L"
2021;"EN";"FT";"Machine Learning Scientist";225000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Scientist";50000;"NG";"Sim";"NG";"L"
2021;"MI";"FT";"Data Science Engineer";40189;"GR";"Sim";"GR";"M"
2021;"EN";"FT";"Data Analyst";90000;"US";"Sim";"US";"S"
2021;"MI";"FT";"Data Engineer";200000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Big Data Engineer";60000;"ES";"Parcial";"RO";"M"
2021;"SE";"FT";"Principal Data Engineer";200000;"US";"Sim";"US";"M"
2021;"EN";"FT";"Data Analyst";50000;"US";"Sim";"US";"M"
2021;"EN";"FT";"Applied Data Scientist";110037;"GB";"Não";"GB";"L"
2021;"EN";"PT";"Data Analyst";10354;"ES";"Parcial";"ES";"M"
2021;"MI";"FT";"Principal Data Scientist";151000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Machine Learning Scientist";120000;"US";"Parcial";"US";"S"
2021;"MI";"FT";"Data Scientist";9466;"IN";"Não";"IN";"S"
2021;"EN";"FT";"Machine Learning Engineer";20000;"IN";"Sim";"IN";"S"
2021;"SE";"FT";"Lead Data Scientist";40570;"IN";"Parcial";"IN";"L"
2021;"EN";"FT";"Machine Learning Developer";100000;"IQ";"Parcial";"IQ";"S"
2021;"EN";"FT";"Data Scientist";49646;"FR";"Parcial";"FR";"M"
2021;"MI";"FT";"Applied Machine Learning Scientist";38400;"VN";"Sim";"US";"M"
2021;"SE";"FT";"Computer Vision Engineer";24000;"BR";"Sim";"BR";"M"
2021;"EN";"FT";"Data Scientist";100000;"US";"Não";"US";"S"
2021;"MI";"FT";"Data Analyst";90000;"US";"Sim";"US";"M"
2021;"MI";"FT";"ML Engineer";63711;"JP";"Parcial";"JP";"S"
2021;"MI";"FT";"ML Engineer";77364;"JP";"Parcial";"JP";"S"
2021;"SE";"FT";"Principal Data Scientist";220000;"US";"Não";"US";"L"
2021;"EN";"FT";"Data Scientist";80000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Data Analyst";135000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Science Manager";240000;"US";"Não";"US";"L"
2021;"SE";"FT";"Data Engineering Manager";150000;"US";"Não";"US";"L"
2021;"MI";"FT";"Data Scientist";82500;"US";"Sim";"US";"S"
2021;"MI";"FT";"Data Engineer";100000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Machine Learning Engineer";82744;"BE";"Parcial";"BE";"M"
2021;"MI";"FT";"Research Scientist";62649;"FR";"Parcial";"FR";"M"
2021;"MI";"FT";"Data Engineer";90000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Engineering Manager";153000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Cloud Data Engineer";160000;"BR";"Sim";"US";"S"
2021;"SE";"FT";"Director of Data Science";168000;"JP";"Não";"JP";"S"
2021;"MI";"FT";"Data Scientist";150000;"US";"Sim";"US";"M"
2021;"MI";"FT";"Data Scientist";75774;"CA";"Sim";"CA";"L"
2021;"EN";"FT";"Data Scientist";13400;"UA";"Sim";"UA";"L"
2021;"SE";"FT";"Data Science Manager";144000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Data Science Engineer";127221;"CA";"Parcial";"CA";"L"
2021;"MI";"FT";"Data Scientist";119059;"SG";"Sim";"IL";"M"
2021;"MI";"FT";"Applied Machine Learning Scientist";423000;"US";"Parcial";"US";"L"
2021;"SE";"FT";"Data Analytics Manager";120000;"US";"Sim";"US";"M"
2021;"EN";"FT";"Machine Learning Engineer";125000;"US";"Sim";"US";"S"
2021;"EX";"FT";"Head of Data";230000;"RU";"Parcial";"RU";"L"
2021;"EX";"FT";"Head of Data Science";85000;"RU";"Não";"RU";"M"
2021;"MI";"FT";"Data Engineer";28369;"MT";"Parcial";"MT";"L"
2021;"EN";"FT";"Data Science Consultant";63831;"DE";"Parcial";"DE";"L"
2021;"EX";"FT";"Director of Data Science";130026;"DE";"Parcial";"DE";"M"
2021;"SE";"FT";"Data Specialist";165000;"US";"Sim";"US";"L"
2021;"EN";"FT";"Data Engineer";80000;"US";"Sim";"US";"L"
2021;"EX";"FT";"Director of Data Science";250000;"US";"Não";"US";"L"
2021;"EN";"FT";"BI Data Analyst";55000;"US";"Parcial";"US";"S"
2021;"MI";"FT";"Data Architect";150000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Architect";170000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Engineer";82528;"GB";"Sim";"GB";"L"
2021;"EN";"FT";"Data Analyst";60000;"US";"Sim";"US";"S"
2021;"SE";"FT";"Principal Data Scientist";235000;"US";"Sim";"US";"L"
2021;"SE";"FT";"Research Scientist";60757;"PT";"Parcial";"PT";"L"
2021;"SE";"FT";"Data Engineering Manager";174000;"US";"Sim";"US";"L"
2021;"MI";"FT";"Data Scientist";2859;"MX";"Não";"MX";"S"
2021;"MI";"FT";"Data Scientist";40038;"CL";"Sim";"CL";"L"
2021;"EN";"FT";"Machine Learning Engineer";81000;"US";"Parcial";"US";"S"
2021;"MI";"FT";"Data Scientist";5679;"IN";"Sim";"US";"S"
2021;"MI";"FT";"Big Data Engineer";22611;"IN";"Não";"IN";"L"
